POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,PAPER_DOI,CONFIDENCE,NOTES
Chitosan,Methylene blue,7,50,41.67,Table.3,10.1038/s41598-026-36875-7,high,PSO kinetic qe at single 50 mg/L conc
Chitosan/EPS composite,Methylene blue,6,50,45.87,Table.3,10.1038/s41598-026-36875-7,high,PSO kinetic qe at single 50 mg/L conc
Chitosan,Methylene blue,6,NaN,13.6986,Table.2,10.1038/s41598-026-36875-7,high,Langmuir qmax (extrapolated over 10-100 mg/L sweep)
Chitosan/EPS composite,Methylene blue,6,NaN,14.2552,Table.2,10.1038/s41598-026-36875-7,high,Langmuir qmax (extrapolated over 10-100 mg/L sweep)
Chitosan-pectinase blend,Methylene blue,7,NaN,16.81,Table.5,10.1038/s41598-026-36875-7,secondhand,Literature comparison value (orig ref 47)
Magnetic chitosan/organic rectorite,Methylene blue,6,NaN,24.69,Table.5,10.1038/s41598-026-36875-7,secondhand,Literature comparison value (orig ref 48)
Activated lignin-chitosan pellets,Methylene blue,7,NaN,36.25,Table.5,10.1038/s41598-026-36875-7,secondhand,Literature comparison value (orig ref 49)
Graphene oxide/chitosan/Fe3O4,Methylene blue,10.5,NaN,30.10,Table.5,10.1038/s41598-026-36875-7,secondhand,Literature comparison value (orig ref 50)
Chitosan/Activated Carbon,Methylene blue,6.5,NaN,22.52,Table.5,10.1038/s41598-026-36875-7,secondhand,Literature comparison value (orig ref 46)
BC aerogel,Methylene blue,6.5,10,4.1,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,6.5,50,16.6,Fig.9,10.1021/acsomega.3c03130,high,From RE=66.5%; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,6.5,100,22.8,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,6.5,200,29.7,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,6.5,350,30.4,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,6.5,400,29.8,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,6.5,NaN,31.1,Fig.10,10.1021/acsomega.3c03130,high,Langmuir qmax (extrapolated over 10-400 ppm sweep)
