POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
pre-treated Posidonia oceanica,tetracycline,5,50,2.212,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,50,2.893,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,50,2.423,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,50,1.839,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,75,3.485,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,75,4.352,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,75,3.679,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,75,3.266,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,100,5.163,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,100,5.544,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,100,5.196,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
pre-treated Posidonia oceanica,tetracycline,5,100,4.669,10.4194/1303-2712-v17_6_50,deepseek-v4-flash (pdf2text),.pdf
"""SA Cellulose Nanocrystals""","""Cu2+""",NaN,NaN,68,"""[51]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""SA""","""U6+""",2.5,NaN,117.3,"""[52]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""SA""","""U6+""",7.4,NaN,410.1,"""[52]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan""","""Pb2+""",NaN,NaN,0.6,"""[50]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan""","""Cu2+""",NaN,NaN,0.55,"""[50]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan""","""Cd2+""",NaN,NaN,0.52,"""[50]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan""","""Hg2+""",NaN,NaN,0.5,"""[50]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""SA (Na-alginate) Nano-Clay (Cloisite® 20A)""","""Pb2+""",NaN,NaN,532,"""[53]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Starch Gelatin Melamine""","""MB""",NaN,NaN,68.9,"""[54]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Cyclodextrin Polymer Graphitic Carbon Nitride (g-C3N4)""","""MB""",NaN,NaN,4.27,"""[39]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan""","""MO""",6.3,NaN,12.7,"""[41]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Methacrylated Starch ACy""","""MB""",NaN,NaN,61.24,"""[55]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""polycaprolactone (PCL)/sodium alginate (SA)""","""Cu2+""",NaN,NaN,93.3,"""[31]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Polyvinyl Alcohol Acrylic Acid""","""Pb2+""",NaN,NaN,896,"""[58]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Chitosan Hydroxyapatite""","""Cu2+""",NaN,NaN,"""119±1""","""[30]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
"""Calcium-Based MOFs (Ca-MOF) Calcium Silicate (CaSiO3)""","""MB""",NaN,50,2.35,"""[60]""",deepseek-v4-flash (pdf2text),3D-Printed_Structured_Adsorbents_for_Wastewater_Treatment_Balancing_Hierarchical_Pore_Design_and_Mechanical_Robustness
