ROW_IDX,PAPER,DRUG,POLYMER_USED,DRUG_SMILES,POLYMER_PSMILES,WATER_PH,CONCENTRATION,CAPACITY,FORMAT_OK,FORMAT_REASON,SMILES_VALID_OK,SMILES_VALID_REASON,PSMILES_VALID_OK,PSMILES_VALID_REASON,CAPPING_OK,CAPPING_REASON,LOGP_OK,LOGP_REASON,FINGERPRINT_OK,FINGERPRINT_REASON,LOGD_OK,LOGD_REASON,NET_CHARGE_OK,NET_CHARGE_REASON,POLYMETRIX_PSMILES_OK,POLYMETRIX_PSMILES_REASON,POLYMETRIX_SMILES_OK,POLYMETRIX_SMILES_REASON,OVERALL_OK,FAILURE_STAGE,FAILURE_REASON
0,A_comprehensive_review_on_synthesis_and_application_of_nanocomposites_for_adsorption_of_chromium_status_and_future_prospective,Cr(VI),Polypyrrole,[Cr+6],*c1cc[nH]c1*,2,25,202.02,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
1,A_novel_composite_of_chitosan_and_Bacillus_subtilis_exopolysaccharide_for_the_removal_of_methylene_blue_from_aqueous_solutions,methylene blue,chitosan,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,7,50,43.23,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
2,A_novel_composite_of_chitosan_and_Bacillus_subtilis_exopolysaccharide_for_the_removal_of_methylene_blue_from_aqueous_solutions,methylene blue,chitosan,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,*C(C(C(C(C(CO)O)O)O)O)*,7,50,41.67,True,,False,RDKit MolFromSmiles returned None,True,,True,,False,SKIPPED,False,SKIPPED,False,SKIPPED,False,SKIPPED,True,,False,SKIPPED,False,SMILES_VALID,RDKit MolFromSmiles returned None
3,A_review_of_the_antibiotic_ofloxacin_Current_status_of_ecotoxicology_and_scientific_advances_in_its_removal_from_aqueous_systems_by_adsorption_technology,ofloxacin,Magnetic carboxylated cellulose nanocrystals (M-CCNs),CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,*C(C(C(C(C(=O)O)O)O)O)*,7,50-900,58.48,False,CONCENTRATION=range(50-900),True,,True,,True,,True,,True,,False,SKIPPED,False,SKIPPED,True,,True,,False,FORMAT,CONCENTRATION=range(50-900)
4,Adsorption_Application_for_Removal_of_Hazardous_Chloroform_from_Aqueous_Solution_by_Nanocomposites_RectoriteChitosan_Adsorbent,CHCl3,chitosan,C(Cl)(Cl)Cl,*C(C(C(C(C(CO)O)O)O)O)*,6.8,50,51.0,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
5,Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine,creatinine,cellulose dinitrobenzoate,CN1CC(=O)N=C1N,*C(C(C(C(CO)O)O)O)*,7,225,3.88,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
6,Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine,creatinine,cellulose dinitrobenzoate,CN1CC(=O)N=C1N,*C(C(C(C(CO)O)O)O)*,7,100,1.246,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
7,Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS,Cr(III),SDS-chitosan,[Cr+3],*C(C(C(C(C(CO)O)O)O)O)*,4,1,0.69,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
8,Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study,Malachite green,PANI-NiFe2O4,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,*C1=CC=C(N)C1=*,7,30,4.09,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
9,Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study,Malachite green,PANI-NiFe2O4,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,*C1=CC=C(N)C1=*,7,60,6.81,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
