ROW_IDX,PAPER,DRUG,POLYMER_USED,DRUG_SMILES,POLYMER_PSMILES,WATER_PH,CONCENTRATION,CAPACITY,FORMAT_OK,FORMAT_REASON,SMILES_VALID_OK,SMILES_VALID_REASON,PSMILES_VALID_OK,PSMILES_VALID_REASON,CAPPING_OK,CAPPING_REASON,LOGP_OK,LOGP_REASON,FINGERPRINT_OK,FINGERPRINT_REASON,LOGD_OK,LOGD_REASON,NET_CHARGE_OK,NET_CHARGE_REASON,POLYMETRIX_PSMILES_OK,POLYMETRIX_PSMILES_REASON,POLYMETRIX_SMILES_OK,POLYMETRIX_SMILES_REASON,OVERALL_OK,FAILURE_STAGE,FAILURE_REASON
0,,Methylene blue,Chitosan,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1C(N)C(O[*])OC(CO)C1O,7.0,50.0,41.67,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
1,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,10.0,4.1,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
2,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,50.0,16.6,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
3,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,100.0,22.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
4,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,200.0,29.7,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
5,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,350.0,30.4,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
6,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,400.0,29.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
7,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,3.6,50.0,7.6,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
8,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,4.5,50.0,13.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
9,,Methylene blue,BC aerogel,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],[*]OC1OC(CO)C(O[*])C(O)C1O,6.5,50.0,14.8,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,
