POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
Polypyrrole,Cr(VI),*c1cc[nH]c1*,[Cr+6],2,25,202.02,Katata-Seru et al. (2020),deepseek-v4-flash (pdf2text),A_comprehensive_review_on_synthesis_and_application_of_nanocomposites_for_adsorption_of_chromium_status_and_future_prospective
chitosan,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,7,50,43.23,10.1038/s41598-026-36875-7,deepseek-v4-flash (pdf2text),A_novel_composite_of_chitosan_and_Bacillus_subtilis_exopolysaccharide_for_the_removal_of_methylene_blue_from_aqueous_solutions
chitosan,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,7,50,41.67,10.1038/s41598-026-36875-7,deepseek-v4-flash (pdf2text),A_novel_composite_of_chitosan_and_Bacillus_subtilis_exopolysaccharide_for_the_removal_of_methylene_blue_from_aqueous_solutions
Magnetic carboxylated cellulose nanocrystals (M-CCNs),ofloxacin,*C(C(C(C(C(=O)O)O)O)O)*,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,7,50-900,58.48,[133],deepseek-v4-flash (pdf2text),A_review_of_the_antibiotic_ofloxacin_Current_status_of_ecotoxicology_and_scientific_advances_in_its_removal_from_aqueous_systems_by_adsorption_technology
chitosan,CHCl3,*C(C(C(C(C(CO)O)O)O)O)*,C(Cl)(Cl)Cl,6.8,50,51,Fig.4,deepseek-v4-flash (pdf2text),Adsorption_Application_for_Removal_of_Hazardous_Chloroform_from_Aqueous_Solution_by_Nanocomposites_RectoriteChitosan_Adsorbent
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,7,225,3.88,Dai et al. 2015,deepseek-v4-flash (pdf2text),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,7,100,1.246,Dai et al. 2015,deepseek-v4-flash (pdf2text),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],4,1,0.69,Journal of Environmental Protection,deepseek-v4-flash (pdf2text),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
PANI-NiFe2O4,Malachite green,*C1=CC=C(N)C1=*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,7,30,4.09,10.1007/s13204-014-0383-5,deepseek-v4-flash (pdf2text),Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study
PANI-NiFe2O4,Malachite green,*C1=CC=C(N)C1=*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,7,60,6.81,10.1007/s13204-014-0383-5,deepseek-v4-flash (pdf2text),Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study
PANI-NiFe2O4,Malachite green,*C1=CC=C(N)C1=*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,7,90,8.62,10.1007/s13204-014-0383-5,deepseek-v4-flash (pdf2text),Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study
PANI-NiFe2O4,Malachite green,*C1=CC=C(N)C1=*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,7,30,2.3,10.1007/s13204-014-0383-5,deepseek-v4-flash (pdf2text),Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study
PANI-NiFe2O4,Malachite green,*C1=CC=C(N)C1=*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,7,60,3.34,10.1007/s13204-014-0383-5,deepseek-v4-flash (pdf2text),Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study
PANI-NiFe2O4,Malachite green,*C1=CC=C(N)C1=*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,7,90,4.2,10.1007/s13204-014-0383-5,deepseek-v4-flash (pdf2text),Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study
Durian seed immobilized Ca-alginate,Hg(II),*C(C(C(C(=O)[O-])O)O)*,[Hg+2],6,10,1.786,https://doi.org/10.24036/eksakta/vol23-iss01/305,deepseek-v4-flash (pdf2text),Adsorption_of_Mercury_from_Aqueous_Solution_on_Durian_Durio_zibethinus_Seed_Immobilized_Alginate
Durian seed immobilized Ca-alginate,Hg(II),*C(C(C(C(=O)[O-])O)O)*,[Hg+2],6,300,74.121,https://doi.org/10.24036/eksakta/vol23-iss01/305,deepseek-v4-flash (pdf2text),Adsorption_of_Mercury_from_Aqueous_Solution_on_Durian_Durio_zibethinus_Seed_Immobilized_Alginate
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,100,30.14,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],5,100,25.52,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],6,100,16.58,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],7,100,15.75,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],8,100,14.02,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],9,100,11.79,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,15,5.53,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,30,11.26,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,40,15.52,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,50,19.08,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,70,24.29,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,100,29.82,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,50,18.48,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,50,18.94,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,50,19.40,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
chitosan,methyl orange,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],4,50,20.24,10.4236/jwarp.2010.210107,deepseek-v4-flash (pdf2text),Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution
polyaniline,Reactive Red 2,*C1=CC=C(N)C=C1*,C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])NC4=NC(=NC(=N4)Cl)Cl)O.[Na+].[Na+],7,250,131.4,10.15244/pjoes/67554,deepseek-v4-flash (pdf2text),Adsorptive_Removal_of_a_Reactive_Azo_Dye_Using_Polyaniline-Intercalated_Bentonite
polyaniline,Reactive Red 2,*C1=CC=C(N)C=C1*,C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])NC4=NC(=NC(=N4)Cl)Cl)O.[Na+].[Na+],7,500,220.8,10.15244/pjoes/67554,deepseek-v4-flash (pdf2text),Adsorptive_Removal_of_a_Reactive_Azo_Dye_Using_Polyaniline-Intercalated_Bentonite
chitosan,Cr(VI),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+6],3.0,40,34.17,Journal of Textile Science and Technology,deepseek-v4-flash (pdf2text),Analysis_of_the_Adsorption_of_Toxic_Chromium_VI_by_Untreated_and_Chitosan_Treated_Banana_and_Areca_Fiber
chitosan_std,Direct Yellow 86,*C(C(C(C(C(CO)O)O)O)O)*,CC1=C(C=CC(=C1)NC2=NC(=NC(=N2)NCCO)NC3=CC(=C(C=C3)N=NC4=CC5=C(C=CC=C5S(=O)(=O)O)C(=C4)S(=O)(=O)O)C)N=NC6=CC7=C(C=CC=C7S(=O)(=O)O)C(=C6)S(=O)(=O)O.[Na],12,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048,deepseek-v4-flash (pdf2text),Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi
chitosan_std,Direct Yellow 86,*C(C(C(C(C(CO)O)O)O)O)*,CC1=C(C=CC(=C1)NC2=NC(=NC(=N2)NCCO)NC3=CC(=C(C=C3)N=NC4=CC5=C(C=CC=C5S(=O)(=O)O)C(=C4)S(=O)(=O)O)C)N=NC6=CC7=C(C=CC=C7S(=O)(=O)O)C(=C6)S(=O)(=O)O.[Na],12,5e-6,0.019,http://dx.doi.org/10.4236/aces.2014.44048,deepseek-v4-flash (pdf2text),Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi
chitosan_std,Direct Blue 78,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C=C1)NC2=CC3=CC(=C(C(=C3C=C2)O)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=C7C=C(C=CC7=C(C=C6)N=NC8=C(C=CC(=C8)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],12,5e-5,0.16,http://dx.doi.org/10.4236/aces.2014.44048,deepseek-v4-flash (pdf2text),Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi
chitosan_std,Direct Blue 78,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C(C=C1)NC2=CC3=CC(=C(C(=C3C=C2)O)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=C7C=C(C=CC7=C(C=C6)N=NC8=C(C=CC(=C8)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],12,5e-6,0.019,http://dx.doi.org/10.4236/aces.2014.44048,deepseek-v4-flash (pdf2text),Applicative_Study_Part_I_The_Excellent_Conditions_to_Remove_in_Batch_Direct_Textile_Dyes_Direct_Red_Direct_Blue_and_Direct_Yellow_from_Aqueous_Solutions_by_Adsorption_Processes_on_Low-Cost_Chitosan_Fi
Glass beads coated with chitosan DD 85%,tartrazine,*C(C(C(C(C(CO)O)O)O)O)*,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],3,100,60,[128],deepseek-v4-flash (pdf2text),Aqueous_Phase_Removal_of_Tartrazine
PANI,tartrazine,*C1=CC=C(N)C=C1*,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],2.0,48.1,113.21,[129],deepseek-v4-flash (pdf2text),Aqueous_Phase_Removal_of_Tartrazine
bacterial cellulose aerogel,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,10,4.1,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
bacterial cellulose aerogel,methylene blue,*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,200,29.7,10.1021/acsomega.3c03130,deepseek-v4-flash (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
