POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,7.0,100,1.471,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,5,100,1.8,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,6,100,1.6,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,7,100,1.45,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,8,100,1.35,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,9,100,1.4,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,10,100,1.6,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,11,100,1.8,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
cellulose dinitrobenzoate,creatinine,*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,7.0,225,3.88,,gemma4:26b (pdf2image),Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],4,1,0.8,,gemma4:26b (pdf2image),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],5,1,1.1,,gemma4:26b (pdf2image),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],6,1,1.25,,gemma4:26b (pdf2image),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],7,1,1.7,,gemma4:26b (pdf2image),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],4,1,0.75,,gemma4:26b (pdf2image),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
