POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,PAPER_DOI,CONFIDENCE,NOTES
Chitosan,Methylene blue,[*]OC1C(N)C(O[*])OC(CO)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],7.0,50.0,41.67,Table.3,10.1038/s41598-026-36875-7,high,PSO kinetic qe at single 50 mg/L conc
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.5,10.0,4.1,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.5,50.0,16.6,Fig.9,10.1021/acsomega.3c03130,high,From RE=66.5%; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.5,100.0,22.8,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.5,200.0,29.7,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.5,350.0,30.4,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.5,400.0,29.8,Fig.9,10.1021/acsomega.3c03130,high,Label-stated; q=C0*RE*0.5 verified
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],3.6,50.0,7.6,Fig.8,10.1021/acsomega.3c03130,medium,Figure label; pH sweep at 50 ppm
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],4.5,50.0,13.8,Fig.8,10.1021/acsomega.3c03130,medium,Figure label; pH sweep at 50 ppm
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],6.5,50.0,14.8,Fig.8,10.1021/acsomega.3c03130,high,Text-stated; pH sweep at 50 ppm
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],9.5,50.0,15.8,Fig.8,10.1021/acsomega.3c03130,medium,Figure label; pH sweep at 50 ppm
BC aerogel,Methylene blue,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],11.0,50.0,16.3,Fig.8,10.1021/acsomega.3c03130,medium,Figure label; pH sweep at 50 ppm
BC aerogel,Rhodamine B,[*]OC1OC(CO)C(O[*])C(O)C1O,CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1c2-c1ccccc1C(=O)O.[Cl-],6.5,200.0,28.0,Fig.13,10.1021/acsomega.3c03130,high,Multi-dye comparison; text-stated
BC aerogel,Crystal violet,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc(cc1)[C+](c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1.[Cl-],6.5,200.0,33.0,Fig.13,10.1021/acsomega.3c03130,high,Multi-dye comparison; text-stated
BC aerogel,Malachite green,[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc(cc1)[C+](c1ccccc1)c1ccc(N(C)C)cc1.[Cl-],6.5,200.0,48.6,Fig.13,10.1021/acsomega.3c03130,high,Multi-dye comparison; text-stated
