PAPER,OLD_ROWS,NEW_ROWS,MATCH,DETAIL
ADSORPTION_OF_ANIONIC_DYES_ON_CORN_STALKS_MODIFIED_BY_POLYANILINE_KINETICS_AND_THERMODYNAMIC_STUDIES,24,24,24,0 mismatches
A_comprehensive_review_on_synthesis_and_application_of_nanocomposites_for_adsorption_of_chromium_status_and_future_prospective,15,15,0,30 mismatches
A_novel_composite_of_chitosan_and_Bacillus_subtilis_exopolysaccharide_for_the_removal_of_methylene_blue_from_aqueous_solutions,6,9,4,7 mismatches
A_review_of_adsorbents_engineered_from_biological_materials_developed_to_remediate_estrogen_pollution_in_the_environment,61,55,0,116 mismatches
A_study_on_a_fixed-bed_for_Pb_scpiiscp_removal_by_modified_alkaline_lignin-sodium_alginate_composite_hydrogel,8,9,8,0 mismatches
Activated_lignin-chitosan_extruded_blends_for_efficient_adsorption_of_methylene_blue,6,6,0,12 mismatches
Adsorption_Application_for_Removal_of_Hazardous_Chloroform_from_Aqueous_Solution_by_Nanocomposites_RectoriteChitosan_Adsorbent,6,6,2,8 mismatches
Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine,2,4,2,2 mismatches
Adsorption_Properties_of_ArsenicV_by_Polyacrylamide_Cryogel_Containing_Iron_Hydroxide_Oxide_Particles_Prepared_by_ltigtin_situltigt_Method,5,5,0,10 mismatches
Adsorption_and_Photo-Fenton_Degradation_of_Methylene_Blue_Using_NanomagnetitePotassium_Carrageenan_Bio-Composite_Beads,21,9,3,24 mismatches
Adsorption_in_Jar-Test_system_a_study_of_the_physico-chemical_interactions_of_the_chitosan_biopolymer_with_the_textile_dye_DO_2GL,2,2,0,4 mismatches
Adsorption_of_Anionic_Dye_Onto_ZSM-5_Zeolite-based_Bio_Membrane_Characterizations_Kinetics_and_Adsorption_Isotherm,1,2,1,1 mismatches
Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS,2,2,2,0 mismatches
Adsorption_of_CrVI_ions_from_wastewater_using_water-based_polyacrylic_resin,3,2,2,1 mismatches
Adsorption_of_Mercury_from_Aqueous_Solution_on_Durian_Durio_zibethinus_Seed_Immobilized_Alginate,6,6,0,12 mismatches
Adsorption_of_Phenol_using_Cellulose_and_Hydrochar_Kinetic_Isotherm_and_Regeneration_Studies,6,6,6,0 mismatches
Adsorption_of_acid_orange_10_on_cross-linked_porous_polyimide,9,6,3,9 mismatches
Adsorption_of_malachite_green_by_polyanilinenickel_ferrite_magnetic_nanocomposite_an_isotherm_and_kinetic_study,6,6,0,12 mismatches
