POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
cellulose dinitrobenzoate,creatinine,7.0,100.0,1.471,
cellulose dinitrobenzoate,creatinine,5.0,100.0,1.8,
cellulose dinitrobenzoate,creatinine,6.0,100.0,1.6,
cellulose dinitrobenzoate,creatinine,7.0,100.0,1.45,
cellulose dinitrobenzoate,creatinine,8.0,100.0,1.35,
cellulose dinitrobenzoate,creatinine,9.0,100.0,1.4,
cellulose dinitrobenzoate,creatinine,10.0,100.0,1.6,
cellulose dinitrobenzoate,creatinine,11.0,100.0,1.8,
cellulose dinitrobenzoate,creatinine,7.0,225.0,3.88,
SDS-chitosan,Cr(III),4.0,1.0,0.8,
SDS-chitosan,Cr(III),5.0,1.0,1.1,
SDS-chitosan,Cr(III),6.0,1.0,1.25,
SDS-chitosan,Cr(III),7.0,1.0,1.7,
SDS-chitosan,Cr(III),4.0,1.0,0.75,
SDS-chitosan,Cr(III),4.0,1.0,0.75,
bacterial cellulose aerogel,methylene blue,4.0,50.0,16.0,
bacterial cellulose aerogel,Congo red,6.5,200.0,101.4,
bacterial cellulose aerogel,Crystal violet,6.5,200.0,48.6,
bacterial cellulose aerogel,Malachite green,6.5,200.0,48.6,
bacterial cellulose aerogel,Methylene blue,6.5,200.0,27.0,
bacterial cellulose aerogel,Rhodamine B,6.5,200.0,33.0,
Chitosan-walnut shells composite (Ch-W),Levofloxacin,4.0,10.0,4.23,
sodium alginate,Cr(VI),6.0,175.0,270.0,
GO_3@PVA,Methylene Blue,9.0,50.0,247.0,
GO_3@PVA,Methylene Blue,9.0,100.0,448.0,
PPy,metronidazole,6.17,10.0,0.95,
PPy,metronidazole,6.17,10.0,1.8,
PPy,metronidazole,6.17,50.0,3.0,
PPy,metronidazole,6.17,100.0,3.8,
PPy,metronidazole,6.17,150.0,4.2,
PPy,metronidazole,6.17,200.0,4.5,
Ti/PANI,methyl orange,7.0,120.0,113.16,
PANI,Methyl Orange,7.0,120.0,75.0,
Ti/PANI,Methyl Orange,7.0,120.0,85.0,
EDTA grafted chitosan,Co(II),7.0,40.0,61.0,
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,125.89,
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,132.26,
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,106.15,
chitosan-glutaraldehyde,Direct Blue 71,4.0,15.0,102.31,
chitosan-glutaraldehyde,Direct Blue 71,4.0,50.0,343.59,
PET,Pb(II),2.0,400.0,13.16,
PANI,Cr(VI),2.0,10.0,236.36,
chitosan,methylene blue,5.8,20.0,11.0,
