POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
chitosan,CHCl3,6.8,50.0,51,
SDS-chitosan,Cr(III),4.0,1.0,0.69,This study
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel a),As(V),7.0,100.0,22.11,Table 2
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel b),As(V),7.0,100.0,20.30,Table 2
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel c),As(V),7.0,100.0,15.37,Table 2
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel d),As(V),7.0,100.0,15.98,Table 2
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel e),As(V),7.0,100.0,14.29,Table 2
PANI,Tartrazine,2.0,48.1,113.21,[129]
Bacterial cellulose aerogel,Methylene blue,6.5,50.0,16,Figure 4
Bacterial cellulose aerogel,Methylene blue,6.5,50.0,12.3,Figure 4
Bacterial cellulose aerogel,Methylene blue,6.5,50.0,14.7,Figure 5
Bacterial cellulose aerogel,Methylene blue,6.5,50.0,14.8,Figure 8
Bacterial cellulose aerogel,Methylene blue,6.5,10.0,4.1,Figure 9
Bacterial cellulose aerogel,Methylene blue,6.5,200.0,29.7,Figure 9
Bacterial cellulose aerogel,Methylene blue,6.5,200.0,29.2,Figure 14
Bacterial cellulose aerogel,Methylene blue,6.5,200.0,29.8,Figure 14
Bacterial cellulose aerogel,Rhodamine B,6.5,200.0,28.0,Conclusions
Bacterial cellulose aerogel,Crystal violet,6.5,200.0,33.0,Conclusions
Bacterial cellulose aerogel,Malachite green,6.5,200.0,48.6,Figure 13
Bacterial cellulose aerogel,Congo red,6.5,200.0,101.4,Figure 13
Bacterial nanocellulose-based hydrogel,Tetracycline,7.0,50.0,59.52,Bacillus subtilis W7
Bacterial nanocellulose-based hydrogel,Tetracycline,7.0,50.0,54.97,Bacillus subtilis W7
Bacterial nanocellulose-based hydrogel,Tetracycline,7.0,50.0,128.39,Bacillus subtilis W7
Bacterial nanocellulose-based hydrogel,Tetracycline,7.0,50.0,75.24,Bacillus subtilis W7
Calcium phosphate-chitosan,Tetracycline,11.0,25.0,0–500,223.8
Polyethylenimine-grafted crosslinked chitosan spheres,Sodium diclofenac,5.0,35.0,50–200,253.3
cellulose citrate,methylene blue,6.2,10.0,9.57,10.1039/d1ra05464c
cellulose citrate,methylene blue,6.2,30.0,26.86,10.1039/d1ra05464c
cellulose citrate,methylene blue,6.2,30.0,27.25,10.1039/d1ra05464c
Polyethylene glycol,Ni,1.2,0.7008,3.285,https://doi.org/10.21203/rs.3.rs-374698/v1
Polyethylene glycol,Fe,1.2,19.533,92.43,https://doi.org/10.21203/rs.3.rs-374698/v1
Polyethylene glycol,Cu,1.2,1.3909,6.949,https://doi.org/10.21203/rs.3.rs-374698/v1
Polyethylene glycol,Pb,1.2,2.3508,10.73,https://doi.org/10.21203/rs.3.rs-374698/v1
Polyethylene glycol,Cd,1.2,0.0408,0.169,https://doi.org/10.21203/rs.3.rs-374698/v1
