POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
chitosan,CHCl3,6.8,50.0,51.0,Fig.4
SDS-chitosan,Cr(III),4.0,1.0,0.69,Journal of Environmental Protection
PANI,tartrazine,2.0,48.1,113.21,[129]
BNC hydrogel,tetracycline,7.0,50.0,54.97,10.1038/s41598-025-18254-w
BNC hydrogel,tetracycline,7.0,50.0,128.39,10.1038/s41598-025-18254-w
cellulose citrate,methylene blue,6.2,10.0,9.57,RSC Adv. 2021
PEG,Ni,1.2,0.7008,3.285,Table 7
PEG,Fe,1.2,19.533,92.43,Table 7
PEG,Cu,1.2,1.3909,6.949,Table 7
PEG,Pb,1.2,2.3508,10.73,Table 7
PEG,Cd,1.2,0.0408,0.169,Table 7
Ca-alginate,Cd(II),6.0,10.0,9.16,10.5564/mjc.v26i54.3869
Ca-alginate-HPMBP,Cd(II),6.0,10.0,9.3,10.5564/mjc.v26i54.3869
Ca-alginate,Cd(II),6.0,25.0,23.23,10.5564/mjc.v26i54.3869
Ca-alginate-HPMBP,Cd(II),6.0,25.0,23.25,10.5564/mjc.v26i54.3869
Ca-alginate,Cd(II),6.0,10.0,8.63,10.5564/mjc.v26i54.3869
Ca-alginate-HPMBP,Cd(II),6.0,10.0,8.78,10.5564/mjc.v26i54.3869
polypyrrole,metronidazole,6.17,10.0,0.95,10.1007/s40090-019-0190-7
poly(DVB),Brilliant Green,7.0,2.5,1.59,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7.0,14.3,4.63,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7.0,7.5,8.44,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7.0,7.5,2.45,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7.0,7.5,0.94,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7.0,7.5,3.13,10.1039/d5ra02950c
Trametes pubescens alginate-immobilized biomass,Congo Red,1.0,100.0,355.48,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100.0,380.56,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,3.0,100.0,371.26,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,4.0,100.0,343.15,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,5.0,100.0,281.43,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,6.0,100.0,233.34,Ann Microbiol (2015) 65:411-421
