POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER
chitosan,CHCl3,*C(C(C(C(C(CO)O)O)O)O)*,C(Cl)(Cl)Cl,6.8,50,51,NaN,kimi-k2.6 (pdf2text),Adsorption_Application_for_Removal_of_Hazardous_Chloroform_from_Aqueous_Solution_by_Nanocomposites_RectoriteChitosan_Adsorbent
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],4,1,0.69,This study,kimi-k2.6 (pdf2text),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel a),As(V),*CC(C(=O)N)*,[As],7,100,22.11,Table 2,kimi-k2.6 (pdf2text),Adsorption_Properties_of_ArsenicV_by_Polyacrylamide_Cryogel_Containing_Iron_Hydroxide_Oxide_Particles_Prepared_by_ltigtin_situltigt_Method
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel b),As(V),*CC(C(=O)N)*,[As],7,100,20.30,Table 2,kimi-k2.6 (pdf2text),Adsorption_Properties_of_ArsenicV_by_Polyacrylamide_Cryogel_Containing_Iron_Hydroxide_Oxide_Particles_Prepared_by_ltigtin_situltigt_Method
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel c),As(V),*CC(C(=O)N)*,[As],7,100,15.37,Table 2,kimi-k2.6 (pdf2text),Adsorption_Properties_of_ArsenicV_by_Polyacrylamide_Cryogel_Containing_Iron_Hydroxide_Oxide_Particles_Prepared_by_ltigtin_situltigt_Method
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel d),As(V),*CC(C(=O)N)*,[As],7,100,15.98,Table 2,kimi-k2.6 (pdf2text),Adsorption_Properties_of_ArsenicV_by_Polyacrylamide_Cryogel_Containing_Iron_Hydroxide_Oxide_Particles_Prepared_by_ltigtin_situltigt_Method
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel e),As(V),*CC(C(=O)N)*,[As],7,100,14.29,Table 2,kimi-k2.6 (pdf2text),Adsorption_Properties_of_ArsenicV_by_Polyacrylamide_Cryogel_Containing_Iron_Hydroxide_Oxide_Particles_Prepared_by_ltigtin_situltigt_Method
PANI,Tartrazine,*C1=CC=C(N)C=C1*,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],2.0,48.1,113.21,[129],kimi-k2.6 (pdf2text),Aqueous_Phase_Removal_of_Tartrazine
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,16,Figure 4,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,12.3,Figure 4,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,14.7,Figure 5,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,50,14.8,Figure 8,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,10,4.1,Figure 9,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,200,29.7,Figure 9,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,200,29.2,Figure 14,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.5,200,29.8,Figure 14,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Rhodamine B,*C(C(C(C(CO)O)O)O)*,CCN(CC)c1ccc2c(c1)c(c3ccccc3o2)c4ccc(cc4)C(=O)O,6.5,200,28.0,Conclusions,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Crystal violet,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,6.5,200,33.0,Conclusions,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Malachite green,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,6.5,200,48.6,Figure 13,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial cellulose aerogel,Congo red,*C(C(C(C(CO)O)O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],6.5,200,101.4,Figure 13,kimi-k2.6 (pdf2text),Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes
Bacterial nanocellulose-based hydrogel,Tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,59.52,Bacillus subtilis W7,kimi-k2.6 (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater
