POLYMER_USED,DRUG,POLYMER_PSMILES,DRUG_SMILES,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,ANALYZED_BY,PAPER,KIMI_MATCHED
chitosan,CHCl3,*C(C(C(C(C(CO)O)O)O)O)*,C(Cl)(Cl)Cl,6.8,50,51,Fig.4,deepseek-v4-flash (pdf2text),Adsorption_Application_for_Removal_of_Hazardous_Chloroform_from_Aqueous_Solution_by_Nanocomposites_RectoriteChitosan_Adsorbent,False
SDS-chitosan,Cr(III),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],4,1,0.69,Journal of Environmental Protection,deepseek-v4-flash (pdf2text),Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS,False
PANI,tartrazine,*C1=CC=C(N)C=C1*,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],2.0,48.1,113.21,[129],deepseek-v4-flash (pdf2text),Aqueous_Phase_Removal_of_Tartrazine,False
BNC hydrogel,tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,54.97,10.1038/s41598-025-18254-w,deepseek-v4-flash (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater,False
BNC hydrogel,tetracycline,*C(C(C(C(CO)O)O)O)*,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,7,50,128.39,10.1038/s41598-025-18254-w,deepseek-v4-flash (pdf2text),Bacterial_nanocellulose-based_hydrogel_from_Bacillus_subtilis_W7_for_a_sustainable_adsorption_of_tetracycline_from_wastewater,False
cellulose citrate,methylene blue,*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,6.2,10,9.57,RSC Adv. 2021,deepseek-v4-flash (pdf2text),Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water,False
PEG,Ni,*CCO*,[Ni],1.2,0.7008,3.285,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,False
PEG,Fe,*CCO*,[Fe],1.2,19.533,92.43,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,False
PEG,Cu,*CCO*,[Cu],1.2,1.3909,6.949,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,False
PEG,Pb,*CCO*,[Pb],1.2,2.3508,10.73,Table 7,deepseek-v4-flash (pdf2text),Comparative_Adsorptive_Removal_of_Selected_Heavy_Metals_from_Battery_Wastewater_by_Purified_and_Polyethylene_Glycol_Modified_Carbon_Nanotubes,False
