POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Polypyrrole,Cr(VI),2,25,202.02,Katata-Seru et al. (2020)
bacterial cellulose aerogel,methylene blue,6.5,10,4.1,10.1021/acsomega.3c03130
bacterial cellulose aerogel,methylene blue,6.5,200,29.7,10.1021/acsomega.3c03130
bacterial cellulose aerogel,methylene blue,6.5,50,14.8,10.1021/acsomega.3c03130
bacterial cellulose aerogel,methylene blue,6.5,50,12.3,10.1021/acsomega.3c03130
bacterial cellulose aerogel,methylene blue,6.5,50,16,10.1021/acsomega.3c03130
bacterial cellulose aerogel,methylene blue,6.5,50,14.7,10.1021/acsomega.3c03130
Magnetic carboxylated cellulose nanocrystals (M-CCNs),ofloxacin,7,50-900,58.48,[133]
chitosan,CHCl3,6.8,50,51,Fig.4
cellulose dinitrobenzoate,creatinine,7,225,3.88,Dai et al. 2015
cellulose dinitrobenzoate,creatinine,7,100,1.246,Dai et al. 2015
SDS-chitosan,Cr(III),4,1,0.69,Journal of Environmental Protection
PANI-NiFe2O4,Malachite green,7,30,4.09,10.1007/s13204-014-0383-5
PANI-NiFe2O4,Malachite green,7,60,6.81,10.1007/s13204-014-0383-5
PANI-NiFe2O4,Malachite green,7,90,8.62,10.1007/s13204-014-0383-5
PANI-NiFe2O4,Malachite green,7,30,2.3,10.1007/s13204-014-0383-5
PANI-NiFe2O4,Malachite green,7,60,3.34,10.1007/s13204-014-0383-5
PANI-NiFe2O4,Malachite green,7,90,4.2,10.1007/s13204-014-0383-5
Durian seed immobilized Ca-alginate,Hg(II),6,10,1.786,https://doi.org/10.24036/eksakta/vol23-iss01/305
Durian seed immobilized Ca-alginate,Hg(II),6,300,74.121,https://doi.org/10.24036/eksakta/vol23-iss01/305
chitosan,methyl orange,4,100,30.14,10.4236/jwarp.2010.210107
chitosan,methyl orange,5,100,25.52,10.4236/jwarp.2010.210107
chitosan,methyl orange,6,100,16.58,10.4236/jwarp.2010.210107
chitosan,methyl orange,7,100,15.75,10.4236/jwarp.2010.210107
chitosan,methyl orange,8,100,14.02,10.4236/jwarp.2010.210107
chitosan,methyl orange,9,100,11.79,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,15,5.53,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,30,11.26,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,40,15.52,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,50,19.08,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,70,24.29,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,100,29.82,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,50,18.48,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,50,18.94,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,50,19.40,10.4236/jwarp.2010.210107
chitosan,methyl orange,4,50,20.24,10.4236/jwarp.2010.210107
polyaniline,Reactive Red 2,7,250,131.4,10.15244/pjoes/67554
polyaniline,Reactive Red 2,7,500,220.8,10.15244/pjoes/67554
chitosan,Cr(VI),3.0,40,34.17,Journal of Textile Science and Technology
chitosan_std,Direct Yellow 86,12,5e-5,0.17,http://dx.doi.org/10.4236/aces.2014.44048
chitosan_std,Direct Yellow 86,12,5e-6,0.019,http://dx.doi.org/10.4236/aces.2014.44048
chitosan_std,Direct Blue 78,12,5e-5,0.16,http://dx.doi.org/10.4236/aces.2014.44048
chitosan_std,Direct Blue 78,12,5e-6,0.019,http://dx.doi.org/10.4236/aces.2014.44048
Glass beads coated with chitosan DD 85%,tartrazine,3,100,60,[128]
PANI,tartrazine,2.0,48.1,113.21,[129]
bacterial cellulose aerogel,rhodamine B,6.5,200,30,10.1021/acsomega.3c03130
bacterial cellulose aerogel,crystal violet,6.5,200,30,10.1021/acsomega.3c03130
bacterial cellulose aerogel,malachite green,6.5,200,48.6,10.1021/acsomega.3c03130
Chitosan-BN-Fe2O3,Congo Red,7,50,24.89,10.18185/erzifbed.1180213
Chitosan-BN-Fe2O3,Congo Red,7,100,49.52,10.18185/erzifbed.1180213
Chitosan-BN-Fe2O3,Congo Red,7,150,70.6,10.18185/erzifbed.1180213
Chitosan-BN-Fe2O3,Congo Red,7,200,85,10.18185/erzifbed.1180213
BNC hydrogel,tetracycline,7,50,54.97,10.1038/s41598-025-18254-w
BNC hydrogel,tetracycline,7,50,128.39,10.1038/s41598-025-18254-w
Calcium phosphate-chitosan,Tetracycline,11.0,0-500,223.8,Said et al. (2024)
Polyethylenimine-grafted crosslinked chitosan spheres,Sodium diclofenac,5.0,50-200,253.3,Lu et al. (2020)
Chitosan-Fe2O3,Acid Blue 113,3,10,16.61,This study
Chitosan-Fe2O3,Acid Blue 113,3,25,38.86,This study
Chitosan-Fe2O3,Acid Blue 113,3,50,71.21,This study
Chitosan-Fe2O3,Acid Blue 113,3,100,129.80,This study
Chitosan-walnut shells composite (Ch-W),Levofloxacin,7,4,7.43,[27]
Chitosan-walnut shells composite (Ch-W),Levofloxacin,7,2,3.77,[27]
cellulose citrate,methylene blue,6.2,10,9.57,RSC Adv. 2021
chitosan,Amoxicillin,3,100,52,https://doi.org/10.1007/s11270-025-08223-4
chitosan,Amoxicillin,7,100,59,https://doi.org/10.1007/s11270-025-08223-4
chitosan,Amoxicillin,13,100,48,https://doi.org/10.1007/s11270-025-08223-4
chitosan,Doxycycline,3,100,82,https://doi.org/10.1007/s11270-025-08223-4
