POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
chitosan,CHCl3,6.8,50,51,Fig.4
SDS-chitosan,Cr(III),4,1,0.69,Journal of Environmental Protection
PANI,tartrazine,2.0,48.1,113.21,[129]
BNC hydrogel,tetracycline,7,50,54.97,10.1038/s41598-025-18254-w
BNC hydrogel,tetracycline,7,50,128.39,10.1038/s41598-025-18254-w
cellulose citrate,methylene blue,6.2,10,9.57,RSC Adv. 2021
PEG,Ni,1.2,0.7008,3.285,Table 7
PEG,Fe,1.2,19.533,92.43,Table 7
PEG,Cu,1.2,1.3909,6.949,Table 7
PEG,Pb,1.2,2.3508,10.73,Table 7
PEG,Cd,1.2,0.0408,0.169,Table 7
Ca-alginate,Cd(II),6,10,9.16,10.5564/mjc.v26i54.3869
Ca-alginate-HPMBP,Cd(II),6,10,9.30,10.5564/mjc.v26i54.3869
Ca-alginate,Cd(II),6,25,23.23,10.5564/mjc.v26i54.3869
Ca-alginate-HPMBP,Cd(II),6,25,23.25,10.5564/mjc.v26i54.3869
Ca-alginate,Cd(II),6,10,8.63,10.5564/mjc.v26i54.3869
Ca-alginate-HPMBP,Cd(II),6,10,8.78,10.5564/mjc.v26i54.3869
polypyrrole,metronidazole,6.17,10,0.95,10.1007/s40090-019-0190-7
poly(DVB),Brilliant Green,7,2.5,1.59,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7,14.3,4.63,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7,7.5,8.44,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7,7.5,2.45,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7,7.5,0.94,10.1039/d5ra02950c
poly(DVB),Brilliant Green,7,7.5,3.13,10.1039/d5ra02950c
Trametes pubescens alginate-immobilized biomass,Congo Red,1.0,100,355.48,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,380.56,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,3.0,100,371.26,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,4.0,100,343.15,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,5.0,100,281.43,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,6.0,100,233.34,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,7.0,100,121.45,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,8.0,100,87.12,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,9.0,100,66.23,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,10.0,100,30.20,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,25,156.51,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,50,377.56,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,60,411.15,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,80,465.32,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,495.24,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,120,483.36,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,150,402.37,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,180,282.21,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,200,135.38,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,507.74,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,531.52,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,548.19,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,534.51,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,507.84,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,456.65,Ann Microbiol (2015) 65:411-421
Trametes pubescens alginate-immobilized biomass,Congo Red,2.0,100,348.82,Ann Microbiol (2015) 65:411-421
CuO/PANI,Pb(II),2,25,90.86,https://doi.org/10.1038/s41598-024-81970-2
CuO/PANI,Pb(II),2,100,256.39,https://doi.org/10.1038/s41598-024-81970-2
CuO/PANI,Pb(II),2,125,322.844,https://doi.org/10.1038/s41598-024-81970-2
PANI,methyl orange,7,120,82.1,https://doi.org/10.33263/BRIAC121.893909
Ti/PANI,methyl orange,7,120,103.1,https://doi.org/10.33263/BRIAC121.893909
Ti(N)/PANI,methyl orange,7,120,101.6,https://doi.org/10.33263/BRIAC121.893909
Ti(Cu)/PANI,methyl orange,7,120,102.5,https://doi.org/10.33263/BRIAC121.893909
PVA,Congo red,1,75,18.44,10.24845/ijfac.v10.i2.117
chitosan modified with epichlorohydrin (second trial) and 1-methylimidazole (biopolymer IV),Ag(I),6.70,12.91,30.9,Table 2
unmodified chitosan crosslinked with glutaraldehyde (biopolymer I),Ag(I),6.70,12.91,11.4,Table 2
polyethyleneimine,Cr(VI),4,50,44.33,10.15244/pjoes/188595
polyethyleneimine,Cr(VI),4,80,49.65,10.15244/pjoes/188595
polyethyleneimine,Cr(VI),4,50.22,29.53,10.15244/pjoes/188595
polyethyleneimine,Cr(VI),4,50.22,27.76,10.15244/pjoes/188595
