KEPT_IN,POLYMER_PSMILES,DRUG_SMILES,WINNER_MODEL,WINNER_PAPER,DROPPED_MODEL,DROPPED_PAPER,ROWS_DROPPED
(best model),[*]OC1OC(CO)C(O[*])C(O)C1O,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],opus,10.4236/msce.2024.122001,opus,10.1021/acsomega.3c03130,11
(best model),*c1cc[nH]c1*,[Cr+6],deepseek,A_comprehensive_review_on_synthesis_and_application_of_nanocomposites_for_adsorption_of_chromium_status_and_future_prospective,deepseek,The_removal_of_heavy_metal_ions_from_wastewateraqueous_solution_using_polypyrrole-based_adsorbents_a_review,1
(best model),*c1cc[nH]c1*,[Cr+6],deepseek,A_comprehensive_review_on_synthesis_and_application_of_nanocomposites_for_adsorption_of_chromium_status_and_future_prospective,kimi,The_removal_of_heavy_metal_ions_from_wastewateraqueous_solution_using_polypyrrole-based_adsorbents_a_review,1
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,deepseek,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,deepseek,A_novel_composite_of_chitosan_and_Bacillus_subtilis_exopolysaccharide_for_the_removal_of_methylene_blue_from_aqueous_solutions,2
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,deepseek,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,deepseek,Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods,3
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,deepseek,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,kimi,Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods,3
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,deepseek,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,gemma,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,2
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,deepseek,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,gemma,Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods,1
(best model),*C(C(C(C(C(CO)O)O)O)O)*,C(Cl)(Cl)Cl,deepseek,Adsorption_Application_for_Removal_of_Hazardous_Chloroform_from_Aqueous_Solution_by_Nanocomposites_RectoriteChitosan_Adsorbent,kimi,Adsorption_Application_for_Removal_of_Hazardous_Chloroform_from_Aqueous_Solution_by_Nanocomposites_RectoriteChitosan_Adsorbent,1
(best model),*C(C(C(C(CO)O)O)O)*,CN1CC(=O)N=C1N,deepseek,Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine,gemma,Adsorption_Kinetics_and_Thermodynamics_of_Cellulose_Dinitrobenzoate_Prepared_in_Ionic_Liquid_for_the_Removal_Of_Creatinine,9
(best model),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],deepseek,Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS,kimi,Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS,1
(best model),*C(C(C(C(C(CO)O)O)O)O)*,[Cr+3],deepseek,Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS,gemma,Adsorption_of_CrIII_from_an_Aqueous_Solution_by_Chitosan_Beads_Modified_with_Sodium_Dodecyl_Sulfate_SDS,6
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],deepseek,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution,deepseek,Synthesis_of_quaternized_magnetic_chitosan_and_adsorption_performance_for_methyl_orange_from_aqueous_solution,2
(best model),*C1=CC=C(N)C=C1*,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],deepseek,Aqueous_Phase_Removal_of_Tartrazine,kimi,Aqueous_Phase_Removal_of_Tartrazine,1
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CCN(CC)c1ccc2c(c1)c(c3ccccc3o2)c4ccc(cc4)C(=O)O,deepseek,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,gemma,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,1
(best model),*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,deepseek,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,gemma,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes,1
