POLYMER_PSMILES,DRUG_SMILES,NUM_PAPERS,NUM_ROWS,PAPERS
*C(C(C(C(CO)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,4,13,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes (x8) | Cellulose_citrate_a_convenient_and_reusable_bio-adsorbent_for_effective_removal_of_methylene_blue_dye_from_artificially_contaminated_water (x3) | Electrospun_nanofibers_of_cellulose_acetatemetal_organic_framework-third_generation_PAMAM_dendrimer_for_the_removal_of_methylene_blue_from_aqueous_media (x1) | Optimization_of_Methylene_Blue_Dye_Adsorption_onto_Coconut_Husk_Cellulose_Using_Response_Surface_Methodology_Adsorption_Kinetics_Isotherms_and_Reusability_Studies (x1)
*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,3,14,A_novel_composite_of_chitosan_and_Bacillus_subtilis_exopolysaccharide_for_the_removal_of_methylene_blue_from_aqueous_solutions (x2) | Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes (x8) | Using_chitosan_made_from_modified_chitosan_Crab_shells_for_dye_adsorption_equilibrium_kinetic_and_response_surface_methods (x4)
*C(C(C(C(C(CO)O)O)O)O)*,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],3,6,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes (x1) | Chitosan_impregnated_sugarcane_bagasse_biochar_for_removal_of_anionic_dyes_from_wastewater (x1) | Removal_of_Congo_Red_From_Water_By_Adsorption_Onto_Chitosan-BN-Fe2O3_Kinetic_and_Isotherm_Studies (x4)
*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)N=Nc2ccc(cc2)S(=O)(=O)[O-],2,18,Adsorption_of_Methyl_Orange_onto_Chitosan_from_Aqueous_Solution (x16) | Synthesis_of_quaternized_magnetic_chitosan_and_adsorption_performance_for_methyl_orange_from_aqueous_solution (x2)
*CC(O)*,CN(C)c1ccc2c(c1)sc3cc(ccc3n2)N(C)C,2,9,Developing_a_new_sustainable_eco-adsorbent_film_from_flexographic_printing_plate_waste_to_remove_cationic_organic_and_inorganic_pollutants (x2) | Fabrication_of_a_PVA-encapsulated_MCCSVO2_composite_via_melt_intercalation_for_efficient_fixed-bed_adsorption_of_methylene_blue (x7)
*c1cc[nH]c1*,[Cr+6],2,2,A_comprehensive_review_on_synthesis_and_application_of_nanocomposites_for_adsorption_of_chromium_status_and_future_prospective (x1) | The_removal_of_heavy_metal_ions_from_wastewateraqueous_solution_using_polypyrrole-based_adsorbents_a_review (x1)
*C(C(C(C(C(CO)O)O)O)O)*,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,2,2,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes (x1) | SYNTHESIS_CHARACTERIZATION_AND_POTENTIAL_APPLICATION_OF_BIOCOMPOSITE_MATERIAL_BASED_ON_SAWDUST_BIOMASS_FOR_REMOVAL_OF_PERSISTENT_ORGANIC_POLLUTANTS_FROM_AQUEOUS_SOLUTIONS (x1)
*C(C(C(C(CO)O)O)O)*,CCN(CC)c1ccc2c(c1)c(c3ccccc3o2)c4ccc(cc4)C(=O)O,2,2,Bacterial_Cellulose_Aerogels_Derived_from_Pineapple_Peel_Waste_for_the_Adsorption_of_Dyes (x1) | Recent_advances_on_the_removal_of_dyes_from_wastewater_using_various_adsorbents_a_critical_review (x1)
*C(C(C(C(=O)[O-])O)O)*,[Cr+6],2,2,Comparison_Study_of_ANFIS_ANN_and_RSM_and_Mechanistic_Modeling_for_ChromiumVI_Removal_Using_Modified_Cellulose_NanocrystalsSodium_Alginate_CNCAlg (x1) | Removal_of_hexavalent_chromium_from_aqueous_solutions_using_nano-Fe3O4waste_banana_peelalginate_hydrogel_biobeads_as_adsorbent (x1)
*C1=CC=C(N)C=C1*,[Cr+6],2,2,Synthesis_characterization_and_adsorption_performance_of_novel_acidic_calixarene-modified_LDHpolyaniline_nanohybrid_for_efficient_CrVI_removal (x1) | Tailored_magnetic_hybrid_composites_with_recoverable_properties_for_efficient_Cr_scpviscp_adsorption_and_reduction_a_synergistic_experimental_and_theoretical_study (x1)
