POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
Poly (ethylene glycol) Diacrylate Hydroxyethyl Methacrylate,Rh B,NaN,100,3.73,[61],,
Polyvinylidene Fluoride Derived Porous Carbon,Bisphenol A,NaN,NaN,122.5,[108],,
PCL/5%SA filament,Cu,NaN,0.17,11.5,Table 1,,
PCL/5%SA filament,Cu,NaN,1,13.4,Table 1,,
PCL/15%SA filament,Cu,NaN,0.17,17.3,Table 1,,
PCL/15%SA filament,Cu,NaN,1,17.9,Table 1,,
PCL/30%SA filament,Cu,NaN,0.17,39.2,Table 1,,
PCL/30%SA filament,Cu,NaN,1,23.2,Table 1,,
PCL/15%SA 3D pen,Cu,NaN,0.17,20.5,Table 1,,
PCL/15%SA FDM 3D printer,Cu,NaN,0.17,14.3,Table 1,,
PCL/15%SA growing robot,Cu,NaN,0.17,15.7,Table 1,,
Chitosan,Victoria Blue,NaN,NaN,683.34,Table 2 (This work),,
Chitosan,Victoria Blue,NaN,3.36,696.19,Table 5 (298K),,
Chitosan,Victoria Blue,NaN,3.15,638.50,Table 5 (308K),,
Chitosan,Victoria Blue,NaN,3.58,629.06,Table 5 (318K),,
Chitosan,Victoria Blue,NaN,3.88,606.99,Table 5 (328K),,
Chitosan,Victoria Blue,NaN,100,279.32,Effect of catalyst dosage (12 mg),,
Succinic anhydride grafted nanocellulose,Cr(VI),NaN,NaN,156.25,[47],,
PDA-CNF-PEI aerogel,Methyl Orange,4.41,NaN,265.9,[94],,
PDA-CNF-PEI aerogel,Methyl Orange,10.2,NaN,218.3,[94],,
CNF/GnP hybrid aerogel,Methylene Blue,NaN,NaN,1178.5,[95],,
CNF/GnP hybrid aerogel,Congo Red,NaN,NaN,585.3,[95],,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Chitosan,Cr(VI),2,NaN,61.56,Dinh et al. (2020),,
Polypyrrole,Cr(VI),2,25,202.02,Katata-Seru et al. (2020),,
Polyaniline,Cr(VI),2,NaN,409.77,Long et al. (2021),,
Polyaniline,Cr(VI),NaN,NaN,250,Singh and Rachna (2020),,
Hypercrosslinked polymer,benzene,NaN,NaN,0.553,Long et al.,,
Hypercrosslinked polymer,n-hexane,NaN,NaN,0.955,"""Zhang et al.",,
Hypercrosslinked polymer,dichloromethane,NaN,NaN,1343,"""Zhang et al.",,
Hypercrosslinked polymer,2-butanone,NaN,NaN,1.130,"""Zhang et al.",,
Hypercrosslinked polymer,benzene,NaN,800,137.4,Wang et al.,,
chitosan,methylene blue,NaN,NaN,13.70,10.1038/s41598-026-36875-7,,
chitosan/EPS composite,methylene blue,NaN,NaN,14.26,10.1038/s41598-026-36875-7,,
chitosan,methylene blue,7,50,43.23,10.1038/s41598-026-36875-7,,
chitosan/EPS composite,methylene blue,7,50,41.53,10.1038/s41598-026-36875-7,,
Chitosan / Ammi visnaga,Brilliant Green,4,15,96,10.1515/eces-2018-0017,,
Chitosan / Ammi visnaga,Brilliant Green,4,20,96,10.1515/eces-2018-0017,,
